user_id,endpoint,total_requests,successful_requests,error_4xx_requests,error_5xx_requests,total_response_time,latencies,errors_occurred,test_duration
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,30,0,30,0,8.894344091415405,"[0.2539393901824951, 0.35356879234313965, 0.2659010887145996, 0.5940356254577637, 0.24719786643981934, 0.30193257331848145, 0.29773688316345215, 0.2849094867706299, 0.32561469078063965, 0.25170159339904785, 0.24924826622009277, 0.2743360996246338, 0.3095366954803467, 0.28714919090270996, 0.4051661491394043, 0.273953914642334, 0.24791812896728516, 0.26532554626464844, 0.27272605895996094, 0.28194499015808105, 0.26119136810302734, 0.2513706684112549, 0.27829480171203613, 0.2590198516845703, 0.2769620418548584, 0.27338242530822754, 0.2643394470214844, 0.2709999084472656, 0.43637943267822266, 0.2785611152648926]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",38.919275522232056
23,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,30,0,30,0,8.919859409332275,"[0.28162121772766113, 0.29117870330810547, 0.2796597480773926, 0.5575921535491943, 0.5860466957092285, 0.2572164535522461, 0.25838637351989746, 0.3392465114593506, 0.2844252586364746, 0.2793409824371338, 0.2868824005126953, 0.2795143127441406, 0.2957737445831299, 0.25057554244995117, 0.3380446434020996, 0.25183844566345215, 0.25275444984436035, 0.26752328872680664, 0.2597320079803467, 0.2728848457336426, 0.33348965644836426, 0.26356077194213867, 0.30271029472351074, 0.2565314769744873, 0.2595860958099365, 0.24804377555847168, 0.26439929008483887, 0.2872738838195801, 0.26178598403930664, 0.27224040031433105]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",38.949856996536255
15,https://api.spotify.com/v1/tracks/11dFghVXANMlKmJXsNCbNl,30,0,30,0,9.337482452392578,"[0.25709080696105957, 0.2929973602294922, 0.2904622554779053, 0.8705952167510986, 0.25000834465026855, 0.3475522994995117, 0.2626931667327881, 0.29853034019470215, 0.25925159454345703, 0.25991392135620117, 0.7165732383728027, 0.27994632720947266, 0.2982311248779297, 0.2545638084411621, 0.3425428867340088, 0.26435351371765137, 0.25733423233032227, 0.27181339263916016, 0.3163173198699951, 0.25908398628234863, 0.30567431449890137, 0.26207947731018066, 0.25713658332824707, 0.2720799446105957, 0.2570161819458008, 0.2564730644226074, 0.26494550704956055, 0.26917195320129395, 0.27326035499572754, 0.2697899341583252]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",39.36292576789856
4,https://api.spotify.com/v1/playlists/3cEYpjA9oz9GiPac4AsH4n,30,17,13,0,10.36161470413208,"[0.3924598693847656, 0.37314391136169434, 0.3708624839782715, 0.333712100982666, 0.26015186309814453, 0.7704823017120361, 0.3623225688934326, 0.38224077224731445, 0.36834168434143066, 0.25725793838500977, 0.2914845943450928, 0.2503845691680908, 0.2584846019744873, 0.3437964916229248, 0.3334810733795166, 0.35704994201660156, 0.3379333019256592, 0.2515685558319092, 0.2466273307800293, 0.267380952835083, 0.42586350440979004, 0.3134307861328125, 0.31337809562683105, 0.31490397453308105, 0.25162339210510254, 0.25440168380737305, 0.25247716903686523, 0.7752456665039062, 0.3487825393676758, 0.3023409843444824]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",40.385725259780884
14,https://api.spotify.com/v1/playlists/3cEYpjA9oz9GiPac4AsH4n,30,17,13,0,9.890231609344482,"[0.31593990325927734, 0.359966516494751, 0.38532400131225586, 0.34690117835998535, 0.2540862560272217, 0.39466261863708496, 0.30083680152893066, 0.42657899856567383, 0.4139254093170166, 0.25428128242492676, 0.2845027446746826, 0.27588844299316406, 0.26794958114624023, 0.3460044860839844, 0.33601951599121094, 0.33767223358154297, 0.3045032024383545, 0.2590155601501465, 0.2609670162200928, 0.3031172752380371, 0.4231550693511963, 0.3077058792114258, 0.3525240421295166, 0.337493896484375, 0.2542238235473633, 0.2587311267852783, 0.38318610191345215, 0.39426183700561523, 0.33011317253112793, 0.42069363594055176]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",39.91814112663269
7,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,30,0,30,0,10.559260845184326,"[0.32578444480895996, 0.3607916831970215, 0.28378987312316895, 0.2822279930114746, 0.28468942642211914, 0.3501136302947998, 0.2770266532897949, 0.27077746391296387, 0.31540799140930176, 0.2824432849884033, 0.27726149559020996, 0.5787825584411621, 0.2860445976257324, 0.3308546543121338, 0.6170365810394287, 0.2565944194793701, 0.27530384063720703, 0.25478315353393555, 0.26611876487731934, 0.2545297145843506, 0.26095151901245117, 0.2525484561920166, 0.27691125869750977, 0.27024078369140625, 0.2965829372406006, 0.26085591316223145, 1.311251163482666, 0.48787450790405273, 0.40728759765625, 0.3043944835662842]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",40.57993841171265
22,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,30,0,30,0,9.934361934661865,"[0.27689194679260254, 0.2569253444671631, 0.29233646392822266, 0.320939302444458, 0.2857513427734375, 0.613548994064331, 0.28935694694519043, 0.3889179229736328, 0.32666015625, 0.2551853656768799, 0.25763463973999023, 0.26525020599365234, 0.26378583908081055, 0.27379369735717773, 0.2561624050140381, 0.2594747543334961, 0.32848405838012695, 0.2549421787261963, 0.2599666118621826, 0.27305102348327637, 0.3695669174194336, 0.26706433296203613, 0.2509274482727051, 0.2684903144836426, 0.2581195831298828, 1.2596197128295898, 0.4121863842010498, 0.2859330177307129, 0.26190781593322754, 0.3014872074127197]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",39.96150541305542
17,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,30,0,30,0,10.207300662994385,"[0.2593543529510498, 0.3280770778656006, 0.3569607734680176, 0.3258700370788574, 0.2805213928222656, 0.27315258979797363, 0.25001049041748047, 0.31793665885925293, 0.3302459716796875, 0.30950117111206055, 0.30551743507385254, 0.24727272987365723, 0.26658034324645996, 0.3264431953430176, 0.2795255184173584, 0.2608962059020996, 0.2604506015777588, 0.26108336448669434, 0.2663533687591553, 0.2581031322479248, 0.24747753143310547, 0.2629718780517578, 1.3158979415893555, 0.24949193000793457, 0.2560892105102539, 0.2510843276977539, 0.4274332523345947, 0.8477797508239746, 0.2631685733795166, 0.3220498561859131]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",40.23430156707764
10,https://api.spotify.com/v1/tracks/11dFghVXANMlKmJXsNCbNl,30,0,30,0,10.654289245605469,"[0.269733190536499, 0.37155747413635254, 0.28905463218688965, 0.3497793674468994, 0.25146484375, 0.2996551990509033, 0.2732508182525635, 0.3119394779205322, 0.31191492080688477, 0.3091411590576172, 0.28594040870666504, 0.3926990032196045, 0.2930471897125244, 0.3504638671875, 0.25976014137268066, 0.2632308006286621, 0.2581198215484619, 0.27544093132019043, 0.25657010078430176, 0.3231825828552246, 0.25675487518310547, 1.2706611156463623, 0.6027915477752686, 0.27915191650390625, 0.264693021774292, 0.2494199275970459, 0.3374660015106201, 0.8473899364471436, 0.26526427268981934, 0.28475069999694824]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",40.67801642417908
30,https://api.spotify.com/v1/tracks/11dFghVXANMlKmJXsNCbNl,30,0,30,0,9.694164752960205,"[0.3037683963775635, 0.31682562828063965, 0.2682464122772217, 0.25523877143859863, 0.6196739673614502, 0.2605404853820801, 0.2609672546386719, 0.3023664951324463, 0.33714747428894043, 0.2846219539642334, 1.3046882152557373, 0.3268423080444336, 0.27905941009521484, 0.281360387802124, 0.28633809089660645, 0.2554938793182373, 0.2680549621582031, 0.28800225257873535, 0.2600998878479004, 0.29917478561401367, 0.25212907791137695, 0.27420997619628906, 0.2690005302429199, 0.24757623672485352, 0.2594916820526123, 0.25438904762268066, 0.27193689346313477, 0.2697134017944336, 0.2799956798553467, 0.25721120834350586]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",39.72130632400513
