user_id,endpoint,total_requests,successful_requests,error_4xx_requests,error_5xx_requests,total_response_time,latencies,errors_occurred,test_duration
3,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,30,18,12,0,10.166088104248047,"[0.3377106189727783, 0.3487071990966797, 0.3397345542907715, 0.3695099353790283, 0.341233491897583, 0.34795379638671875, 0.3851029872894287, 0.3392477035522461, 0.31396937370300293, 0.3280777931213379, 0.315948486328125, 0.3124833106994629, 0.3563811779022217, 0.35623669624328613, 0.327472448348999, 0.3073084354400635, 0.3165724277496338, 0.31168699264526367, 0.2997105121612549, 0.35283660888671875, 0.3301377296447754, 0.3930525779724121, 0.336763858795166, 0.31725406646728516, 0.3191230297088623, 0.3134634494781494, 0.3088834285736084, 0.37758946418762207, 0.39037632942199707, 0.37155961990356445]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",40.19411635398865
8,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,30,19,11,0,10.182196617126465,"[0.40303945541381836, 0.36658549308776855, 0.37212085723876953, 0.33098793029785156, 0.3866550922393799, 0.3418765068054199, 0.3667294979095459, 0.29651975631713867, 0.3324618339538574, 0.31868672370910645, 0.3179953098297119, 0.36367011070251465, 0.33303308486938477, 0.3264610767364502, 0.33396124839782715, 0.3126850128173828, 0.32904791831970215, 0.3111448287963867, 0.3122069835662842, 0.345306396484375, 0.3401143550872803, 0.35053491592407227, 0.33995866775512695, 0.3084449768066406, 0.31217074394226074, 0.3205080032348633, 0.3473801612854004, 0.348461389541626, 0.37974023818969727, 0.3337080478668213]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",40.20674729347229
13,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,30,16,14,0,10.15771198272705,"[0.3639378547668457, 0.35804176330566406, 0.3899252414703369, 0.35143160820007324, 0.34567999839782715, 0.3449242115020752, 0.3605465888977051, 0.33351778984069824, 0.3241293430328369, 0.30735158920288086, 0.30500149726867676, 0.3634812831878662, 0.3549051284790039, 0.3499302864074707, 0.31085634231567383, 0.2991461753845215, 0.29975104331970215, 0.30379438400268555, 0.3131272792816162, 0.33765459060668945, 0.33381009101867676, 0.3515322208404541, 0.3023252487182617, 0.2991831302642822, 0.298353910446167, 0.3132975101470947, 0.4292616844177246, 0.3589441776275635, 0.3611884117126465, 0.3926815986633301]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",40.18155574798584
18,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,30,16,14,0,10.17016077041626,"[0.38202881813049316, 0.3550088405609131, 0.3732411861419678, 0.30068039894104004, 0.35314226150512695, 0.3863556385040283, 0.3424813747406006, 0.31346654891967773, 0.29808592796325684, 0.30596351623535156, 0.32313013076782227, 0.3598198890686035, 0.3562030792236328, 0.3387894630432129, 0.3102116584777832, 0.29953837394714355, 0.305178165435791, 0.31731128692626953, 0.3092348575592041, 0.35132622718811035, 0.35545802116394043, 0.3981165885925293, 0.3168320655822754, 0.29982757568359375, 0.3085203170776367, 0.31453466415405273, 0.3325691223144531, 0.4347250461578369, 0.34471988677978516, 0.38365983963012695]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",40.19601631164551
7,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,30,17,13,0,10.813254594802856,"[0.38052892684936523, 0.45794200897216797, 0.37691736221313477, 0.377699613571167, 0.4136953353881836, 0.39342784881591797, 0.3683781623840332, 0.3235299587249756, 0.3393890857696533, 0.31300830841064453, 0.32393741607666016, 0.4113199710845947, 0.3887763023376465, 0.39078640937805176, 0.3184494972229004, 0.3034968376159668, 0.3047797679901123, 0.29924535751342773, 0.3164713382720947, 0.3848724365234375, 0.4070277214050293, 0.3754267692565918, 0.29619789123535156, 0.3024275302886963, 0.31130504608154297, 0.3077709674835205, 0.43334126472473145, 0.418872594833374, 0.3835766315460205, 0.3906562328338623]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",40.83939242362976
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,30,17,13,0,10.865935802459717,"[0.4202277660369873, 0.37602996826171875, 0.3949875831604004, 0.33651208877563477, 0.36327648162841797, 0.3763394355773926, 0.41523003578186035, 0.31992554664611816, 0.32180023193359375, 0.3041188716888428, 0.30885887145996094, 0.3762035369873047, 0.47760605812072754, 0.3728353977203369, 0.304351806640625, 0.3129138946533203, 0.3174707889556885, 0.33311009407043457, 0.4466593265533447, 0.43787050247192383, 0.35338687896728516, 0.36292219161987305, 0.31273722648620605, 0.3009324073791504, 0.3546750545501709, 0.3053925037384033, 0.3840627670288086, 0.43050146102905273, 0.3672959804534912, 0.3777010440826416]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",40.89077687263489
17,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,30,17,13,0,10.785423278808594,"[0.38821911811828613, 0.4223060607910156, 0.39641284942626953, 0.37675952911376953, 0.42780065536499023, 0.3815279006958008, 0.46144676208496094, 0.29994821548461914, 0.3011343479156494, 0.31453680992126465, 0.30385708808898926, 0.4487793445587158, 0.43262267112731934, 0.3922903537750244, 0.2941017150878906, 0.3150155544281006, 0.29525160789489746, 0.30366969108581543, 0.3526592254638672, 0.36400771141052246, 0.426816463470459, 0.3662889003753662, 0.30508971214294434, 0.3097224235534668, 0.32263731956481934, 0.30087924003601074, 0.3943319320678711, 0.37796473503112793, 0.40297412872314453, 0.30637121200561523]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",40.81569051742554
15,https://api.spotify.com/v1/tracks/11dFghVXANMlKmJXsNCbNl,30,17,13,0,11.107666254043579,"[0.3185877799987793, 0.36008381843566895, 0.3402442932128906, 0.3448317050933838, 0.36609411239624023, 0.3582777976989746, 0.3316800594329834, 0.3540031909942627, 0.3108174800872803, 0.33286499977111816, 0.3424496650695801, 0.35899877548217773, 0.3222653865814209, 0.35178565979003906, 0.32079386711120605, 0.30225658416748047, 0.31779050827026367, 0.2998538017272949, 0.30558061599731445, 0.32750892639160156, 1.3580248355865479, 0.3522074222564697, 0.3034050464630127, 0.31121230125427246, 0.39089488983154297, 0.33990955352783203, 0.3433654308319092, 0.35283637046813965, 0.36832475662231445, 0.32071661949157715]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",41.138436794281006
22,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,30,18,12,0,10.72513198852539,"[0.3790762424468994, 0.39263248443603516, 0.3649585247039795, 0.386699914932251, 0.36154961585998535, 0.40514492988586426, 0.3586440086364746, 0.3067183494567871, 0.3072848320007324, 0.301891565322876, 0.32956600189208984, 0.43199586868286133, 0.423748254776001, 0.37746167182922363, 0.308396577835083, 0.3193509578704834, 0.3109872341156006, 0.29595088958740234, 0.38667845726013184, 0.4275193214416504, 0.3962697982788086, 0.38312864303588867, 0.31729936599731445, 0.30143237113952637, 0.3199608325958252, 0.35984301567077637, 0.4211549758911133, 0.3609042167663574, 0.38570332527160645, 0.3031797409057617]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",40.749727725982666
4,https://api.spotify.com/v1/playlists/3cEYpjA9oz9GiPac4AsH4n,30,17,13,0,11.922025918960571,"[0.39400577545166016, 0.47379255294799805, 0.3843355178833008, 0.4350435733795166, 0.38719677925109863, 0.38901233673095703, 0.3767268657684326, 0.31282496452331543, 0.31109189987182617, 0.2987687587738037, 0.34005260467529297, 0.38547825813293457, 0.38764333724975586, 0.37700486183166504, 0.3962826728820801, 0.2991170883178711, 0.3094806671142578, 0.30449390411376953, 0.2984926700592041, 0.38661623001098633, 0.3787410259246826, 0.41306471824645996, 0.31398940086364746, 0.3032715320587158, 0.3287312984466553, 0.2984468936920166, 0.43184924125671387, 0.48155903816223145, 1.3947782516479492, 0.33013319969177246]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",41.94916319847107
